# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 171K of event 'task-clock:ppp'
# Event count (approx.): 42928250000
#
# Overhead  Command         Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
# ........  ..............  ....................  ......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  tsp_ga2opt_omp  tsp_ga2opt_omp        [.] unsigned long std::uniform_int_distribution<unsigned long>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<unsigned long>::param_type const&) [clone .isra.0]
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa922b9c4
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffaa25a401
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x00000000000128cc
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x00000000000128d2
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x00000000000128d6
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x000000000002494d
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x00000000000259a0
     0.00%  tsp_ga2opt_omp  tsp_ga2opt_omp        [.] void std::shuffle<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffa90d6d8b
